Address,Link,Bedrooms,Bathrooms,Parking,Area,Type,Suburb,Scraped Date,Days on Market,Asking Price
"9/71 Parry Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149129212,1,1,1,66,1,victoria park,2025-10-01,,0
"30/188 Newcastle Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149122256,2,2,1,82,2,victoria park,2025-10-01,,0
"14/101 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149120252,1,1,1,46,1,victoria park,2025-10-01,,400
"38/273 Hay Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-149113232,2,1,1,79,2,victoria park,2025-10-01,,500000
"17/15 Leonard Street, Victoria Park",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-victoria+park-149035796,1,1,1,50,1,victoria park,2025-10-01,,450000
"30/124 Terrace Road, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-studio-wa-perth-149154320,1,1,0,33,1,victoria park,2025-10-01,,315000
"13/34 East Parade, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-149188060,1,1,1,0,1,victoria park,2025-10-01,,500
"704/237 Adelaide Terrace, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149184044,1,1,1,63,1,victoria park,2025-10-01,,499000
"Address available on request, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-east+perth-146095828,1,1,1,40,1,victoria park,2025-10-01,,0
"13 & 13A/22 Nile Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-145806336,2,2,1,0,2,victoria park,2025-10-01,,549000
"9/118 Adelaide Terrace, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-149170596,2,2,1,92,2,victoria park,2025-10-01,,500000600000
"507/201 Hay Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148054708,2,1,0,82,2,victoria park,2025-10-01,,370000
"19/1-5 Fitzory Road, Rivervale",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-rivervale-148409516,2,1,1,103,2,victoria park,2025-10-01,,0
"212/305 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148640260,1,1,0,0,1,victoria park,2025-10-01,,269000
"20/240 Mill Point Rd, South Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-south+perth-149037100,2,1,1,71,2,victoria park,2025-10-01,,470000
"83/8 Hampton, Burswood",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-burswood-149036216,2,1,1,69,2,victoria park,2025-10-01,,400000
"104/8 Moreau Parade, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148390596,1,1,0,66,1,victoria park,2025-10-01,,400000
"16/155 Adelaide Terrac, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148752956,1,1,1,0,1,victoria park,2025-10-01,,0
"402, 403 & 506/112 Mounts Bay Road, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-serviced+apartment-wa-perth-148752088,1,1,1,0,1,victoria park,2025-10-01,,350000450000
"220/305 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-perth-149026244,1,1,1,36,1,victoria park,2025-10-01,,239
"9D/66 Great Eastern Highway, Rivervale",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-rivervale-149156936,1,1,1,41,1,victoria park,2025-10-01,,359000
"2/29 Hill Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149016120,1,1,0,0,1,victoria park,2025-10-01,,300
"206/112 Goderich Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148740232,1,1,1,50,1,victoria park,2025-10-01,,389000
"58/35 Wellington St East Perth, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148378340,2,1,1,0,2,victoria park,2025-10-01,,550000
"71/193 Hay Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148996076,2,1,1,71,2,victoria park,2025-10-01,,499000
"9/71 Parry Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149129212,1,1,1,66,1,victoria park,2025-10-01,,0
"30/188 Newcastle Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149122256,2,2,1,82,2,victoria park,2025-10-01,,0
"14/101 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149120252,1,1,1,46,1,victoria park,2025-10-01,,400
"38/273 Hay Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-149113232,2,1,1,79,2,victoria park,2025-10-01,,500000
"20/240 Mill Point Rd, South Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-south+perth-149037100,2,1,1,71,2,south perth,2025-10-01,,470000
"13/34 East Parade, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-149188060,1,1,1,0,1,south perth,2025-10-01,,500
"Address available on request, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-east+perth-146095828,1,1,1,40,1,south perth,2025-10-01,,0
"13 & 13A/22 Nile Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-145806336,2,2,1,0,2,south perth,2025-10-01,,549000
"9/118 Adelaide Terrace, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-149170596,2,2,1,92,2,south perth,2025-10-01,,500000600000
"507/201 Hay Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148054708,2,1,0,82,2,south perth,2025-10-01,,370000
"83/8 Hampton, Burswood",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-burswood-149036216,2,1,1,69,2,south perth,2025-10-01,,400000
"17/15 Leonard Street, Victoria Park",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-victoria+park-149035796,1,1,1,50,1,south perth,2025-10-01,,450000
"104/8 Moreau Parade, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148390596,1,1,0,66,1,south perth,2025-10-01,,400000
"16/155 Adelaide Terrac, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148752956,1,1,1,0,1,south perth,2025-10-01,,0
"206/112 Goderich Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148740232,1,1,1,50,1,south perth,2025-10-01,,389000
"58/35 Wellington St East Perth, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148378340,2,1,1,0,2,south perth,2025-10-01,,550000
"71/193 Hay Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148996076,2,1,1,71,2,south perth,2025-10-01,,499000
"38/273 Hay Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-149113232,2,1,1,79,2,south perth,2025-10-01,,500000
"506/8 Adelaide Terrace, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-139454307,0,1,1,0,1,south perth,2025-10-01,,0
"2/35 Wellington Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-east+perth-148959984,1,1,1,52,1,south perth,2025-10-01,,495000
"87/131 Adelaide Terrace, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-149177040,1,1,1,0,1,south perth,2025-10-01,,400000
"710/201 Hay Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148883528,2,2,0,77,2,south perth,2025-10-01,,399
"64/128 Adelaide Terrace, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-147818756,1,1,1,82,1,south perth,2025-10-01,,499000
"17/35 Wellington Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-147200528,1,1,1,47,1,south perth,2025-10-01,,440000
"92/208 Adelaide Terrace, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-146247840,1,1,1,75,1,south perth,2025-10-01,,485
"131A West Parade, Mount Lawley",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-mount+lawley-149158516,1,1,1,0,1,mount lawley,2025-10-01,,545000
"35/537 William Street, Mount Lawley",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-mount+lawley-148984068,1,1,1,0,1,mount lawley,2025-10-01,,0
"25/169 Railway Parade, Mount Lawley",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-mount+lawley-149182744,2,1,1,0,2,mount lawley,2025-10-01,,499000
"16/181 Oxford Street, Leederville",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-leederville-149199124,1,1,1,0,1,mount lawley,2025-10-01,,400000
"2/30 Watson Place, Maylands",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-maylands-149196504,2,1,1,0,2,mount lawley,2025-10-01,,0
"31/19 Joseph Street, Maylands",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-maylands-147705112,2,1,0,59,2,mount lawley,2025-10-01,,379000
"30/124 Terrace Road, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-studio-wa-perth-149154320,1,1,0,33,1,mount lawley,2025-10-01,,315000
"13/34 East Parade, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-149188060,1,1,1,0,1,mount lawley,2025-10-01,,500
"704/237 Adelaide Terrace, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149184044,1,1,1,63,1,mount lawley,2025-10-01,,499000
"Address available on request, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-east+perth-146095828,1,1,1,40,1,mount lawley,2025-10-01,,0
"8/99 Ninth Avenue, Maylands",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-maylands-149043532,2,1,2,0,2,mount lawley,2025-10-01,,499000
"3/66 Stuart Street, Maylands",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-maylands-149179332,2,1,1,0,2,mount lawley,2025-10-01,,549000
"13 & 13A/22 Nile Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-145806336,2,2,1,0,2,mount lawley,2025-10-01,,549000
"9/118 Adelaide Terrace, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-149170596,2,2,1,92,2,mount lawley,2025-10-01,,500000600000
"507/201 Hay Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148054708,2,1,0,82,2,mount lawley,2025-10-01,,370000
"212/305 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148640260,1,1,0,0,1,mount lawley,2025-10-01,,269000
"104/8 Moreau Parade, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148390596,1,1,0,66,1,mount lawley,2025-10-01,,400000
"16/155 Adelaide Terrac, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148752956,1,1,1,0,1,mount lawley,2025-10-01,,0
"402, 403 & 506/112 Mounts Bay Road, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-serviced+apartment-wa-perth-148752088,1,1,1,0,1,mount lawley,2025-10-01,,350000450000
"220/305 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-perth-149026244,1,1,1,36,1,mount lawley,2025-10-01,,239
"2/29 Hill Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149016120,1,1,0,0,1,mount lawley,2025-10-01,,300
"206/112 Goderich Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148740232,1,1,1,50,1,mount lawley,2025-10-01,,389000
"58/35 Wellington St East Perth, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148378340,2,1,1,0,2,mount lawley,2025-10-01,,550000
"71/193 Hay Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148996076,2,1,1,71,2,mount lawley,2025-10-01,,499000
"9/71 Parry Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149129212,1,1,1,66,1,mount lawley,2025-10-01,,0
"30/188 Newcastle Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149122256,2,2,1,82,2,mount lawley,2025-10-01,,0
"14/101 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149120252,1,1,1,46,1,mount lawley,2025-10-01,,400
"38/273 Hay Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-149113232,2,1,1,79,2,mount lawley,2025-10-01,,500000
"506/8 Adelaide Terrace, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-139454307,0,1,1,0,1,mount lawley,2025-10-01,,0
"3/1 Margaret Street, Maylands",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-maylands-149112708,1,1,1,0,1,mount lawley,2025-10-01,,449000
"617/305 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148484056,1,1,0,40,1,mount lawley,2025-10-01,,289000
"206/451 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148727584,2,1,0,0,2,mount lawley,2025-10-01,,400
"715/305 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148345360,1,1,0,0,1,mount lawley,2025-10-01,,0
"5/60 Newcastle Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148706512,1,1,1,0,1,mount lawley,2025-10-01,,500
"2/35 Wellington Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-east+perth-148959984,1,1,1,52,1,mount lawley,2025-10-01,,495000
"2018/380 MURRAY STREET, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148946932,1,1,0,0,1,mount lawley,2025-10-01,,420000
"8/2 Bennelong Place, Leederville",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-leederville-149084492,2,1,1,60,2,mount lawley,2025-10-01,,0
"42/4 Bulwer St, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149083812,2,1,1,0,2,mount lawley,2025-10-01,,429000
"47/12 Tenth Avenue, Maylands",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-maylands-149075676,1,1,1,43,1,mount lawley,2025-10-01,,400
"203/130A Mounts Bay Road, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149069784,1,1,0,38,1,mount lawley,2025-10-01,,370000
"43/33 Mounts Bay Road, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-142487332,1,1,0,0,1,mount lawley,2025-10-01,,245000
"73/50-54 Cambridge Street, West Leederville",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-west+leederville-149195100,1,1,1,0,1,mount lawley,2025-10-01,,450000
"9/37 Florence Street, West Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-west+perth-149179520,2,1,1,0,2,mount lawley,2025-10-01,,500000
"111/45 Malcolm Street, West Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-west+perth-147658644,1,1,0,33,1,mount lawley,2025-10-01,,0
"6/160 St Georges Terrace, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148370128,1,1,0,25,1,mount lawley,2025-10-01,,450
"8/28 Carrington Street, Inglewood",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-inglewood-149186900,2,1,1,60,2,mount lawley,2025-10-01,,499000
"87/131 Adelaide Terrace, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-149177040,1,1,1,0,1,mount lawley,2025-10-01,,400000
"Unit 11 919 Beaufort Street, Inglewood",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-inglewood-149128052,1,1,1,53,1,mount lawley,2025-10-01,,0
"710/201 Hay Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148883528,2,2,0,77,2,mount lawley,2025-10-01,,399
"1307/380 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148723824,1,1,1,44,1,mount lawley,2025-10-01,,0
"524/305 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-147647240,1,1,0,31,1,mount lawley,2025-10-01,,224000
"64/128 Adelaide Terrace, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-147818756,1,1,1,82,1,mount lawley,2025-10-01,,499000
"129/15 Aberdeen Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-147481544,1,1,1,0,1,mount lawley,2025-10-01,,450000
"17/35 Wellington Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-147200528,1,1,1,47,1,mount lawley,2025-10-01,,440000
"205/45 MALCOLM STREET, West Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-studio-wa-west+perth-146298148,0,1,0,0,1,mount lawley,2025-10-01,,329000
"305 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-146007640,0,1,0,31,1,mount lawley,2025-10-01,,195000240000
"92/208 Adelaide Terrace, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-146247840,1,1,1,75,1,mount lawley,2025-10-01,,485
"606/112 Mounts Bay Road, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-139597603,1,1,1,49,1,mount lawley,2025-10-01,,300
"UNIT 405/36 TENTH AVENUE, Maylands",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-maylands-142667660,1,1,1,0,1,mount lawley,2025-10-01,,450000
"13/158 Hector Street, Osborne Park",https://www.realestate.com.auhttps://www.realestate.com.au/property-villa-wa-osborne+park-149199100,2,1,1,0,2,osborne park,2025-10-01,,529
"10/87 Waterloo Street, Tuart Hill",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-tuart+hill-149200228,1,1,1,0,1,osborne park,2025-10-01,,500000
"I11/125 Herdsman Parade, Wembley",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-wembley-148662272,2,1,1,59,2,osborne park,2025-10-01,,0
"47/11 Herdsman Parade, Wembley",https://www.realestate.com.auhttps://www.realestate.com.au/property-townhouse-wa-wembley-149163236,2,1,1,0,2,osborne park,2025-10-01,,0
"7/93 Herdsman Parade, Wembley",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-wembley-149187164,1,1,1,0,1,osborne park,2025-10-01,,349000
"16/198 North Beach Drive, Tuart Hill",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-tuart+hill-148621556,2,1,1,66,2,osborne park,2025-10-01,,449000
"Address available on request, Wembley",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-wembley-141144496,1,1,1,0,1,osborne park,2025-10-01,,0
