Address,Link,Bedrooms,Bathrooms,Parking,Area,Type,Suburb,Scraped Date,Days on Market,Asking Price
"5/60 Newcastle Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148706512,1,1,1,0,1,perth,2025-10-01,,500
"2/35 Wellington Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-east+perth-148959984,1,1,1,52,1,perth,2025-10-01,,495000
"Address available on request, Rivervale",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-rivervale-147964316,1,1,1,0,1,perth,2025-10-01,,0
"2018/380 MURRAY STREET, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148946932,1,1,0,0,1,perth,2025-10-01,,420000
"8/2 Bennelong Place, Leederville",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-leederville-149084492,2,1,1,60,2,perth,2025-10-01,,0
"42/4 Bulwer St, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149083812,2,1,1,0,2,perth,2025-10-01,,429000
"203/130A Mounts Bay Road, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149069784,1,1,0,38,1,perth,2025-10-01,,370000
"43/33 Mounts Bay Road, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-142487332,1,1,0,0,1,perth,2025-10-01,,245000
"73/50-54 Cambridge Street, West Leederville",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-west+leederville-149195100,1,1,1,0,1,perth,2025-10-01,,450000
"9/37 Florence Street, West Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-west+perth-149179520,2,1,1,0,2,perth,2025-10-01,,500000
"35/537 William Street, Mount Lawley",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-mount+lawley-148984068,1,1,1,0,1,perth,2025-10-01,,0
"111/45 Malcolm Street, West Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-west+perth-147658644,1,1,0,33,1,perth,2025-10-01,,0
"6/160 St Georges Terrace, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148370128,1,1,0,25,1,perth,2025-10-01,,450
"17/159 Fairway, Crawley",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-crawley-149025020,1,1,1,34,1,perth,2025-10-01,,395000405000
"7/93 Herdsman Parade, Wembley",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-wembley-149187164,1,1,1,0,1,perth,2025-10-01,,349000
"25/169 Railway Parade, Mount Lawley",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-mount+lawley-149182744,2,1,1,0,2,perth,2025-10-01,,499000
